State,District,Market,Commodity,Variety,Grade,Arrival_Date,Year,Month,Day,Season,Rainfall_mm,Temperature_C,Humidity_percent,Min_Price,Max_Price,Modal_Price
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,12/10/2025,2025,10,12,Post-Monsoon,30.3,27.1,50.1,3978.0,4252.2,4138.5
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,13/09/2026,2026,9,13,Monsoon,236.5,33.7,83.0,6079.3,6196.5,6141.0
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,14/06/2026,2026,6,14,Monsoon,94.6,34.1,60.8,5379.9,5553.3,5448.5
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,14/12/2025,2025,12,14,Winter,6.9,23.1,43.3,3921.0,4348.7,4142.7
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,15/02/2026,2026,2,15,Winter,18.2,18.9,47.7,4408.7,4706.0,4591.8
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,15/03/2026,2026,3,15,Summer,10.8,20.0,47.8,4498.8,4736.9,4641.1
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,16/08/2026,2026,8,16,Monsoon,225.0,36.1,82.8,6287.5,6680.6,6477.5
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,16/11/2025,2025,11,16,Post-Monsoon,62.9,21.6,58.2,4270.1,4558.5,4433.6
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,17/05/2026,2026,5,17,Summer,9.3,29.9,46.8,4414.6,4567.7,4497.8
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,18/01/2026,2026,1,18,Winter,6.2,17.3,44.2,3887.1,4232.4,4076.1
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,19/04/2026,2026,4,19,Summer,11.3,27.6,44.2,4465.1,4697.0,4601.4
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,19/07/2026,2026,7,19,Monsoon,80.1,33.9,64.1,5522.9,5695.7,5594.1
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,19/10/2025,2025,10,19,Post-Monsoon,70.3,27.0,54.8,4480.4,4651.4,4567.2
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,20/09/2026,2026,9,20,Monsoon,174.0,30.7,72.8,6185.1,6420.2,6291.2
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,21/06/2026,2026,6,21,Monsoon,198.5,35.0,75.6,6336.3,6563.2,6463.6
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,21/12/2025,2025,12,21,Winter,13.2,18.5,41.1,3983.0,4280.5,4114.8
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,22/02/2026,2026,2,22,Winter,14.1,19.6,45.1,3831.0,4157.9,3987.8
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,22/03/2026,2026,3,22,Summer,11.6,21.6,44.8,4324.9,4523.8,4452.1
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,23/08/2026,2026,8,23,Monsoon,236.6,36.2,81.4,6447.6,6599.7,6537.6
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,23/11/2025,2025,11,23,Post-Monsoon,67.7,22.5,57.1,4150.6,4352.4,4237.7
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,24/05/2026,2026,5,24,Summer,17.6,32.7,45.7,4663.0,4947.2,4769.3
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,25/01/2026,2026,1,25,Winter,16.3,17.0,48.1,3732.4,3976.1,3838.6
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,26/04/2026,2026,4,26,Summer,13.0,26.5,48.1,4561.7,4683.2,4608.8
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,26/07/2026,2026,7,26,Monsoon,142.2,36.0,66.1,5420.5,5706.4,5540.7
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,26/10/2025,2025,10,26,Post-Monsoon,62.4,25.7,53.0,4072.7,4317.8,4196.1
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,28/06/2026,2026,6,28,Monsoon,122.3,31.7,68.9,5930.0,6197.5,6076.3
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,28/12/2025,2025,12,28,Winter,11.9,20.0,43.8,4109.4,4277.1,4204.2
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,29/03/2026,2026,3,29,Summer,7.0,25.4,41.9,4658.9,4973.8,4779.9
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,30/08/2026,2026,8,30,Monsoon,144.2,31.4,67.4,6260.0,6479.6,6372.1
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,30/11/2025,2025,11,30,Post-Monsoon,55.5,22.6,56.4,4058.9,4200.4,4147.6
Bihar,East Champaran/ Motihari,Raxaul APMC,Onion,1st Sort,Grade A,31/05/2026,2026,5,31,Summer,9.4,31.0,47.7,4401.2,4741.8,4574.0
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,01/02/2026,2026,2,1,Winter,1.8,20.3,48.3,4562.1,4798.4,4660.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,01/03/2026,2026,3,1,Summer,11.5,25.3,47.7,5316.1,5428.0,5373.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,02/08/2026,2026,8,2,Monsoon,112.1,36.1,60.5,6459.6,6615.1,6528.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,02/11/2025,2025,11,2,Post-Monsoon,42.9,21.3,55.1,4751.1,5069.7,4917.2
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,03/05/2026,2026,5,3,Summer,7.9,31.1,45.4,5320.3,5537.4,5443.5
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,04/01/2026,2026,1,4,Winter,18.9,19.9,46.3,4516.1,4811.9,4674.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,05/04/2026,2026,4,5,Summer,4.4,27.1,45.2,5097.6,5270.0,5160.2
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,05/07/2026,2026,7,5,Monsoon,207.6,33.2,75.5,7107.0,7348.9,7208.9
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,05/10/2025,2025,10,5,Post-Monsoon,21.6,30.3,51.7,4529.2,4843.0,4693.1
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,06/09/2026,2026,9,6,Monsoon,241.2,29.1,81.3,7019.7,7366.7,7175.7
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,07/06/2026,2026,6,7,Monsoon,164.9,30.3,70.8,6478.9,6615.9,6535.5
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,07/12/2025,2025,12,7,Winter,12.2,19.3,46.9,4495.6,4680.5,4577.7
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,08/02/2026,2026,2,8,Winter,19.1,21.2,49.7,4570.4,4825.1,4687.4
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,08/03/2026,2026,3,8,Summer,9.2,24.5,46.4,5201.7,5481.6,5343.7
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,09/08/2026,2026,8,9,Monsoon,168.4,33.7,73.4,6844.2,7123.9,6986.6
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,09/11/2025,2025,11,9,Post-Monsoon,61.8,23.2,62.7,5213.7,5362.2,5276.2
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,10/05/2026,2026,5,10,Summer,17.9,32.0,53.7,4985.7,5118.6,5053.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,11/01/2026,2026,1,11,Winter,8.1,17.2,43.1,4463.8,4792.7,4600.7
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,12/04/2026,2026,4,12,Summer,15.6,26.7,47.7,5436.9,5608.4,5532.1
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,12/07/2026,2026,7,12,Monsoon,96.4,38.3,56.9,6837.3,7099.7,6973.7
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,12/10/2025,2025,10,12,Post-Monsoon,63.2,29.3,54.7,5017.5,5156.5,5100.2
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,13/09/2026,2026,9,13,Monsoon,176.9,31.8,73.6,6790.7,7145.0,6997.4
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,14/06/2026,2026,6,14,Monsoon,99.0,36.6,60.0,6395.7,6730.5,6590.5
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,14/12/2025,2025,12,14,Winter,17.0,23.6,49.8,4330.8,4472.0,4390.9
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,15/02/2026,2026,2,15,Winter,6.1,21.7,48.5,4752.5,4936.1,4853.2
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,15/03/2026,2026,3,15,Summer,1.0,23.9,35.8,5221.4,5392.3,5302.6
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,16/08/2026,2026,8,16,Monsoon,236.2,33.5,84.3,7578.7,7844.3,7688.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,16/11/2025,2025,11,16,Post-Monsoon,76.7,25.6,58.2,5149.2,5289.4,5222.3
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,17/05/2026,2026,5,17,Summer,16.0,32.9,52.1,5098.1,5386.4,5242.0
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,18/01/2026,2026,1,18,Winter,0.7,19.6,45.3,4156.9,4319.6,4240.9
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,19/04/2026,2026,4,19,Summer,0.9,26.8,42.8,5034.7,5285.7,5142.9
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,19/07/2026,2026,7,19,Monsoon,126.9,34.1,67.1,6748.7,7012.3,6889.2
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,19/10/2025,2025,10,19,Post-Monsoon,60.5,26.6,50.0,4872.6,5101.1,4990.5
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,20/09/2026,2026,9,20,Monsoon,165.5,30.4,73.3,6758.6,7117.0,6909.0
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,21/06/2026,2026,6,21,Monsoon,228.7,35.1,79.2,7318.7,7624.2,7454.5
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,21/12/2025,2025,12,21,Winter,3.7,23.7,46.5,4499.3,4743.2,4595.0
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,22/02/2026,2026,2,22,Winter,13.0,19.4,49.8,4797.8,5137.6,4930.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,22/03/2026,2026,3,22,Summer,4.1,22.8,47.3,5532.7,5717.0,5602.4
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,23/08/2026,2026,8,23,Monsoon,139.0,32.5,67.1,6799.2,7024.7,6906.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,23/11/2025,2025,11,23,Post-Monsoon,71.2,24.8,61.1,4385.2,4810.9,4600.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,24/05/2026,2026,5,24,Summer,11.8,30.3,49.1,5260.9,5530.3,5373.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,25/01/2026,2026,1,25,Winter,12.2,16.3,45.0,4551.0,4760.9,4687.0
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,26/04/2026,2026,4,26,Summer,2.5,28.4,49.2,5119.6,5374.5,5251.4
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,26/07/2026,2026,7,26,Monsoon,152.3,33.2,65.8,6685.0,6919.4,6810.1
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,26/10/2025,2025,10,26,Post-Monsoon,56.1,30.2,51.8,5269.9,5486.8,5354.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,28/06/2026,2026,6,28,Monsoon,159.3,36.2,73.9,6703.8,6868.6,6766.7
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,28/12/2025,2025,12,28,Winter,12.4,23.0,44.7,4529.6,4750.2,4631.2
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,29/03/2026,2026,3,29,Summer,19.7,23.3,51.2,5318.2,5616.3,5460.2
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,30/08/2026,2026,8,30,Monsoon,206.6,31.1,79.5,6154.9,6483.6,6334.6
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,30/11/2025,2025,11,30,Post-Monsoon,28.5,22.1,54.2,4857.1,5055.6,4951.8
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,31/05/2026,2026,5,31,Summer,15.4,28.9,49.9,5099.1,5245.2,5180.3
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,01/02/2026,2026,2,1,Winter,4.4,17.3,46.5,2661.1,2857.3,2749.3
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,01/03/2026,2026,3,1,Summer,2.8,21.4,43.7,3146.2,3415.7,3251.7
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,02/08/2026,2026,8,2,Monsoon,108.2,35.4,63.2,4016.4,4256.8,4131.4
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,02/11/2025,2025,11,2,Post-Monsoon,49.6,23.1,57.3,2854.0,3037.0,2954.2
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,03/05/2026,2026,5,3,Summer,5.1,30.6,46.4,2907.4,3164.8,3039.2
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,04/01/2026,2026,1,4,Winter,8.4,18.3,48.9,2710.5,2888.6,2810.7
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,05/04/2026,2026,4,5,Summer,8.0,26.6,50.5,2922.3,3169.2,3067.3
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,05/07/2026,2026,7,5,Monsoon,152.7,35.3,69.3,4206.5,4527.1,4335.7
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,05/10/2025,2025,10,5,Post-Monsoon,21.0,28.2,52.5,2935.2,3167.9,3039.9
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,06/09/2026,2026,9,6,Monsoon,198.0,28.7,77.9,3949.6,4194.4,4076.8
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,07/06/2026,2026,6,7,Monsoon,116.8,33.8,66.7,3857.8,4130.5,3972.2
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,07/12/2025,2025,12,7,Winter,14.4,20.8,45.3,2703.2,2955.1,2835.9
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,08/02/2026,2026,2,8,Winter,3.5,20.3,42.9,2519.7,2830.2,2675.2
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,08/03/2026,2026,3,8,Summer,9.5,24.2,45.7,2940.3,3111.5,3022.3
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,09/08/2026,2026,8,9,Monsoon,86.5,35.8,60.8,3572.5,3882.4,3731.9
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,09/11/2025,2025,11,9,Post-Monsoon,22.8,20.1,46.3,3048.2,3209.4,3120.0
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,10/05/2026,2026,5,10,Summer,5.5,29.8,46.3,3237.8,3422.6,3329.9
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,11/01/2026,2026,1,11,Winter,15.8,20.2,48.9,2569.9,2719.9,2641.9
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,12/04/2026,2026,4,12,Summer,12.4,27.2,40.6,2999.2,3319.3,3114.1
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,12/07/2026,2026,7,12,Monsoon,127.2,34.8,62.4,3763.5,3946.1,3846.7
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,12/10/2025,2025,10,12,Post-Monsoon,44.0,26.0,53.7,2761.5,2976.4,2845.9
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,13/09/2026,2026,9,13,Monsoon,220.5,30.5,83.4,4033.2,4318.6,4184.3
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,14/06/2026,2026,6,14,Monsoon,164.1,33.3,73.5,4170.3,4344.0,4246.4
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,14/12/2025,2025,12,14,Winter,17.0,19.1,44.7,2630.8,2886.3,2793.4
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,15/02/2026,2026,2,15,Winter,10.8,20.8,48.6,2749.3,3068.8,2890.7
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,15/03/2026,2026,3,15,Summer,7.2,23.8,46.7,2856.0,3153.0,3009.6
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,16/08/2026,2026,8,16,Monsoon,162.6,35.1,70.6,3686.5,3971.8,3837.6
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,16/11/2025,2025,11,16,Post-Monsoon,47.3,23.7,47.1,3253.3,3419.3,3335.7
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,17/05/2026,2026,5,17,Summer,9.6,32.8,49.4,3045.4,3274.2,3150.8
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,18/01/2026,2026,1,18,Winter,13.1,20.0,43.2,2814.1,3015.3,2921.4
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,19/04/2026,2026,4,19,Summer,0.6,27.4,46.3,2878.7,3218.0,3095.8
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,19/07/2026,2026,7,19,Monsoon,152.8,36.2,68.9,4022.2,4215.6,4122.7
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,19/10/2025,2025,10,19,Post-Monsoon,41.5,24.7,51.0,2849.1,3075.0,2971.3
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,20/09/2026,2026,9,20,Monsoon,233.6,31.1,82.3,4116.7,4334.7,4224.1
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,21/06/2026,2026,6,21,Monsoon,243.4,36.1,87.9,4346.9,4534.6,4431.4
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,21/12/2025,2025,12,21,Winter,1.7,21.4,41.4,2595.0,2866.1,2753.1
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,22/02/2026,2026,2,22,Winter,15.1,21.1,45.5,2644.8,2798.9,2730.3
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,22/03/2026,2026,3,22,Summer,16.3,21.0,48.2,3232.0,3406.9,3318.3
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,23/08/2026,2026,8,23,Monsoon,229.2,33.8,77.7,4122.6,4467.1,4308.1
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,23/11/2025,2025,11,23,Post-Monsoon,30.7,22.0,52.5,2995.3,3165.8,3071.5
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,24/05/2026,2026,5,24,Summer,13.3,30.9,45.9,3193.6,3480.0,3336.7
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,25/01/2026,2026,1,25,Winter,6.8,17.9,50.1,2705.5,2867.6,2800.4
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,26/04/2026,2026,4,26,Summer,10.5,29.1,51.0,3047.2,3477.0,3273.5
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,26/07/2026,2026,7,26,Monsoon,241.8,34.9,80.8,4497.2,4669.4,4579.4
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,26/10/2025,2025,10,26,Post-Monsoon,67.3,28.2,57.1,2985.6,3233.9,3125.4
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,28/06/2026,2026,6,28,Monsoon,219.7,34.1,79.1,4057.2,4307.7,4185.7
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,28/12/2025,2025,12,28,Winter,19.8,19.4,39.2,2462.1,2859.4,2685.1
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,29/03/2026,2026,3,29,Summer,8.6,22.7,41.3,2783.1,3194.1,2995.7
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,30/08/2026,2026,8,30,Monsoon,232.3,33.9,83.7,4298.9,4645.8,4453.0
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,30/11/2025,2025,11,30,Post-Monsoon,22.3,24.4,48.0,2805.6,3033.3,2903.5
Haryana,Rewari,Kosli APMC,Onion,Other,FAQ,31/05/2026,2026,5,31,Summer,5.1,28.8,43.8,2890.6,3098.1,2996.9
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,01/02/2026,2026,2,1,Winter,15.2,17.7,46.9,4581.2,4724.1,4644.0
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,01/03/2026,2026,3,1,Summer,3.8,23.6,45.0,5398.8,5685.6,5541.0
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,02/08/2026,2026,8,2,Monsoon,192.6,34.6,77.6,6978.6,7358.2,7134.4
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,02/11/2025,2025,11,2,Post-Monsoon,59.0,23.8,50.4,5156.1,5467.4,5312.4
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,03/05/2026,2026,5,3,Summer,13.6,31.2,51.7,5549.0,5770.2,5692.9
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,04/01/2026,2026,1,4,Winter,7.6,18.9,42.9,4893.9,5109.6,5012.5
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,05/04/2026,2026,4,5,Summer,7.3,26.5,49.1,5715.9,5910.1,5785.8
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,05/07/2026,2026,7,5,Monsoon,249.3,33.5,83.7,7053.7,7329.7,7182.0
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,05/10/2025,2025,10,5,Post-Monsoon,32.0,27.8,52.0,4914.7,5210.2,5017.6
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,06/09/2026,2026,9,6,Monsoon,172.2,31.1,77.8,7628.7,7795.1,7716.9
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,07/06/2026,2026,6,7,Monsoon,189.9,33.0,80.1,7191.8,7346.6,7260.0
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,07/12/2025,2025,12,7,Winter,1.3,19.0,47.3,4848.8,5149.8,4972.9
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,08/02/2026,2026,2,8,Winter,19.1,17.9,42.6,4988.8,5169.2,5064.4
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,08/03/2026,2026,3,8,Summer,8.0,23.3,50.5,5310.8,5525.2,5416.4
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,09/08/2026,2026,8,9,Monsoon,148.3,34.6,70.6,7250.2,7429.9,7347.4
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,09/11/2025,2025,11,9,Post-Monsoon,65.0,21.8,56.8,4916.5,5241.5,5053.7
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,10/05/2026,2026,5,10,Summer,1.6,31.4,47.2,5636.6,5847.6,5717.2
Himachal Pradesh,Kangra,SMY Baijnath,Onion,Onion,Grade A,11/01/2026,2026,1,11,Winter,4.9,20.3,48.0,4590.9,4780.3,4676.0
